HDR  Longitude  Latitude  Scaled Anomaly
HDR filename=GRCTellus.JPL.20111102.LND.RL05_1.DSTvSCS1411.txt
HDR institution=JPL / GRACE-TELLUS
HDR variable=Liquid_Water_Equivalent_Thickness
HDR units=cm
HDR _FillValue=32767.0
HDR platform=GRACE
HDR sensor=GRACE
HDR time_mean_removed=2004.000 to 2009.999
HDR data_source=GRACE JPL RL05.1 + Sean C. Swenson
HDR data_source_version=DSTvSCS1411
HDR Longitudes= LON1_NLONS_DLON=0.5. 360 1.
HDR Latitudes= LAT1_NLATS_DLAT=-89.5 180 1.
HDR time_start=2011 10 17
HDR time_end=2011 11 16
HDR time_format=year month day
HDR postprocess1=DESTRIPED
HDR filter= gaussian
HDR Filter_Width_KM= 300
HDR Filter_Max_Degree= 60
HDR label=GRC-RL05_1-DSTvSCS1411-g300km_n=060
HDR Mask=LAND ONLY PIXELS
HDR DATE_CREATED=Wed Nov 26 13:22:14 2014
12.5 -5.5 -4.604824
12.5 -4.5 -3.271576
12.5 -3.5 -3.25119
12.5 -2.5 -2.30351
12.5 -1.5 -1.406272
12.5 -0.5 1.19168
12.5 1.5 8.11338
12.5 2.5 11.163306
12.5 3.5 20.1524
12.5 4.5 21.85152
12.5 5.5 23.73748
12.5 6.5 22.389213
12.5 7.5 20.779003
12.5 8.5 18.773981
12.5 9.5 10.825893
12.5 10.5 6.454958
12.5 11.5 5.706878
12.5 12.5 3.463603
12.5 13.5 2.532288
12.5 14.5 1.263712
12.5 17.5 -0.042066
12.5 18.5 -0.129506
12.5 19.5 -0.107406
12.5 20.5 -0.192666
12.5 21.5 -0.137815
12.5 22.5 -0.131565
12.5 23.5 -0.217892
12.5 24.5 -0.292896
12.5 25.5 -0.189372
12.5 26.5 -0.16731
12.5 27.5 -0.265563
12.5 28.5 -0.472416
12.5 29.5 -1.458294
12.5 30.5 -3.341223
12.5 31.5 -5.763854
12.5 32.5 -9.191859
12.5 41.5 -0.665883
12.5 42.5 -5.50722
12.5 43.5 -8.100369
12.5 44.5 -2.190892
12.5 45.5 -7.438716
12.5 46.5 -4.356297
12.5 47.5 -4.67136
12.5 48.5 -7.641892
12.5 49.5 -5.27484
12.5 50.5 -3.1747
12.5 51.5 -0.928832
12.5 52.5 1.556632
12.5 53.5 3.444896
12.5 54.5 -0.31008
12.5 55.5 -0.1284
12.5 56.5 4.480686
12.5 57.5 7.115048
12.5 58.5 4.918956
12.5 59.5 3.197802
12.5 60.5 3.312575
12.5 61.5 4.076688
12.5 62.5 4.866752
12.5 63.5 7.114086
12.5 64.5 8.32314
12.5 65.5 2.114604
12.5 66.5 -0.000544
12.5 78.5 -0.036249
12.5 79.5 -1.161504
12.5 80.5 -0.071271
13.5 -23.5 3.631085
13.5 -22.5 6.06876
13.5 -21.5 4.04588
13.5 -20.5 4.98547
13.5 -19.5 7.600854
13.5 -18.5 16.5924
13.5 -17.5 27.575424
13.5 -16.5 15.29472
13.5 -15.5 17.524695
13.5 -14.5 23.240235
13.5 -13.5 7.48398
13.5 -12.5 -3.477629
13.5 -11.5 -1.308045
13.5 -10.5 -2.0907
13.5 -9.5 -4.865371
13.5 -8.5 -7.110179
13.5 -7.5 -5.364954
13.5 -6.5 -5.073666
13.5 -5.5 -17.236947
13.5 -4.5 -7.73753
13.5 -3.5 -2.868474
13.5 -2.5 -1.83011
13.5 -1.5 -1.188837
13.5 -0.5 1.24971
13.5 1.5 13.070882
13.5 2.5 12.176896
13.5 3.5 15.636201
13.5 4.5 17.264665
13.5 5.5 18.071328
13.5 6.5 18.768492
13.5 7.5 19.66234
13.5 8.5 18.67501
13.5 9.5 10.828975
13.5 10.5 7.38078
13.5 11.5 5.404455
13.5 12.5 3.151104
13.5 13.5 1.155571
13.5 17.5 -0.054336
13.5 18.5 -0.082764
13.5 19.5 -0.09541
13.5 20.5 -0.116184
13.5 21.5 -0.115227
13.5 22.5 -0.129923
13.5 23.5 -0.185691
13.5 24.5 -0.22774
13.5 25.5 -0.08939
13.5 27.5 -0.023094
13.5 28.5 -0.29624
13.5 29.5 -1.059783
13.5 30.5 -2.3625
13.5 31.5 -3.53052
13.5 32.5 -12.845336
13.5 33.5 -0.41236
13.5 36.5 -1.028862
13.5 37.5 -2.104128
13.5 38.5 -0.504279
13.5 40.5 -1.1172
13.5 41.5 -4.88954
13.5 42.5 -6.372288
13.5 43.5 -2.999832
13.5 44.5 -0.374238
13.5 45.5 -7.581372
13.5 46.5 -4.218795
13.5 47.5 -5.061921
13.5 48.5 -7.5456
13.5 49.5 -4.50653
13.5 50.5 -2.73218
13.5 51.5 -0.443703
13.5 52.5 1.955562
13.5 53.5 3.598512
13.5 54.5 -0.131161
13.5 55.5 2.563827
13.5 56.5 8.95432
13.5 57.5 9.023733
13.5 58.5 6.435264
13.5 59.5 3.835029
13.5 60.5 3.351124
13.5 61.5 3.321164
13.5 62.5 2.938539
13.5 63.5 3.87
13.5 64.5 5.435052
13.5 65.5 3.489109
13.5 66.5 -0.317814
13.5 77.5 -0.037002
13.5 78.5 -80.166552
13.5 79.5 -7.577152
13.5 80.5 -0.022407
14.5 -23.5 2.83917
14.5 -22.5 6.075498
14.5 -21.5 6.189134
14.5 -20.5 7.051
14.5 -19.5 10.926137
14.5 -18.5 14.572625
14.5 -17.5 22.40348
14.5 -16.5 22.032153
14.5 -15.5 15.84055
14.5 -14.5 21.228138
14.5 -13.5 7.079319
14.5 -12.5 -2.73351
14.5 -11.5 -4.129237
14.5 -10.5 -8.62401
14.5 -9.5 -11.376602
14.5 -8.5 -10.185907
14.5 -7.5 -7.811776
14.5 -6.5 -6.111096
14.5 -5.5 -12.454624
14.5 -4.5 -11.08844
14.5 -3.5 -3.32906
14.5 -2.5 -1.242486
14.5 -1.5 -0.473364
14.5 -0.5 2.552565
14.5 1.5 10.203404
14.5 2.5 12.970584
14.5 3.5 15.38392
14.5 4.5 15.86653
14.5 5.5 17.431295
14.5 6.5 18.3388
14.5 7.5 17.738688
14.5 8.5 15.09816
14.5 9.5 10.578512
14.5 10.5 9.96996
14.5 11.5 5.958056
14.5 12.5 3.321302
14.5 13.5 1.12299
14.5 17.5 -0.0558
14.5 18.5 -0.077586
14.5 19.5 -0.0936
14.5 20.5 -0.09718
14.5 21.5 -0.118084
14.5 22.5 -0.140985
14.5 23.5 -0.15232
14.5 24.5 -0.158255
14.5 25.5 -0.058795
14.5 28.5 -0.115362
14.5 29.5 -0.649165
14.5 30.5 -1.585664
14.5 31.5 -2.633105
14.5 32.5 -10.014966
14.5 33.5 -0.1804
14.5 36.5 -0.864318
14.5 37.5 -1.987096
14.5 38.5 -0.34112
14.5 40.5 -2.62665
14.5 41.5 -6.918448
14.5 42.5 -4.431609
14.5 43.5 -0.6783
14.5 44.5 -3.825447
14.5 45.5 -8.209689
14.5 46.5 -5.423022
14.5 47.5 -4.076316
14.5 48.5 -6.712804
14.5 49.5 -4.183629
14.5 50.5 -2.382688
14.5 51.5 -0.086317
14.5 52.5 2.358013
14.5 53.5 3.84783
14.5 54.5 -0.025782
14.5 55.5 2.665608
14.5 56.5 8.894656
14.5 57.5 9.329628
14.5 58.5 7.226044
14.5 59.5 4.5126
14.5 60.5 3.427915
